question,prompt,answer
Is Layla having a knee surgery?,"Is Layla having a knee surgery?: Desiree: U both at home?
Lucian: No. I've just got ur msg. Why did u ask about it?
Desiree: No reason. Keep my pasta in the microwave
Lucian: I haven't cooked anything",I cannot be sure given this transcript
Is Rachel looking for a job with teaching?,"Is Rachel looking for a job with teaching?: Renee: Just saying Hi. Thought of you this morning.Layla misses you. She is having knee surgery. Hope you are doing well.
Rachel: Renee! Hey! Whoa! So crazy that you wrote. I was literally thinking of you the other day as well. 
Rachel: I am doing really well, getting settled here and everything. Looking for a new job. 
Rachel: Layla is getting knew surgery?! What happened?
Renee: Her arthritis got really bad. I saw her limping every time we went out for a walk, and so I took her to the vet and they decided she needs surgery. 
Rachel: Oh wow. That is really intense. I am sending her lots of love.
Renee: Thanks Rachel. 
Renee: Here is a pic of Layla from this morning.
Renee: <file_picture>
Renee: She is all cute in her usual spot. 
Rachel: Ha! Yeah, I remember, she would always try to fit in there even though she's obviously too big
Rachel: 😂
Renee: Yeah, she's always getting into some sort of silly situations.
Renee: What kind of work are you looking for?
Rachel: Just the usual, something with teaching. I am not too stressed yet, I have some savings.
Renee: That's good, yeah, you don't want to have to feel pressured into taking a certain job. 
Renee: Just so you know, if you are ever back, you are more than welcome to come back and work for me. 
Renee: Layla is definitely missing you taking her on walks everyday. 
Rachel: Aw, yeah, I miss you guys too. Of course :) If I am ever back I will let you know!",Rachel is looking for a job with teaching
Is Rachel looking for a job with teaching?,"Is Rachel looking for a job with teaching?: Desiree: U both at home?
Lucian: No. I've just got ur msg. Why did u ask about it?
Desiree: No reason. Keep my pasta in the microwave
Lucian: I haven't cooked anything",I cannot be sure given this transcript
Does Rachel have some savings?,"Does Rachel have some savings?: Renee: Just saying Hi. Thought of you this morning.Layla misses you. She is having knee surgery. Hope you are doing well.
Rachel: Renee! Hey! Whoa! So crazy that you wrote. I was literally thinking of you the other day as well. 
Rachel: I am doing really well, getting settled here and everything. Looking for a new job. 
Rachel: Layla is getting knew surgery?! What happened?
Renee: Her arthritis got really bad. I saw her limping every time we went out for a walk, and so I took her to the vet and they decided she needs surgery. 
Rachel: Oh wow. That is really intense. I am sending her lots of love.
Renee: Thanks Rachel. 
Renee: Here is a pic of Layla from this morning.
Renee: <file_picture>
Renee: She is all cute in her usual spot. 
Rachel: Ha! Yeah, I remember, she would always try to fit in there even though she's obviously too big
Rachel: 😂
Renee: Yeah, she's always getting into some sort of silly situations.
Renee: What kind of work are you looking for?
Rachel: Just the usual, something with teaching. I am not too stressed yet, I have some savings.
Renee: That's good, yeah, you don't want to have to feel pressured into taking a certain job. 
Renee: Just so you know, if you are ever back, you are more than welcome to come back and work for me. 
Renee: Layla is definitely missing you taking her on walks everyday. 
Rachel: Aw, yeah, I miss you guys too. Of course :) If I am ever back I will let you know!",Rachel has some savings
Does Rachel have some savings?,"Does Rachel have some savings?: Desiree: U both at home?
Lucian: No. I've just got ur msg. Why did u ask about it?
Desiree: No reason. Keep my pasta in the microwave
Lucian: I haven't cooked anything",I cannot be sure given this transcript
Will Rachel let Renee know if she is back?,"Will Rachel let Renee know if she is back?: Renee: Just saying Hi. Thought of you this morning.Layla misses you. She is having knee surgery. Hope you are doing well.
Rachel: Renee! Hey! Whoa! So crazy that you wrote. I was literally thinking of you the other day as well. 
Rachel: I am doing really well, getting settled here and everything. Looking for a new job. 
Rachel: Layla is getting knew surgery?! What happened?
Renee: Her arthritis got really bad. I saw her limping every time we went out for a walk, and so I took her to the vet and they decided she needs surgery. 
Rachel: Oh wow. That is really intense. I am sending her lots of love.
Renee: Thanks Rachel. 
Renee: Here is a pic of Layla from this morning.
Renee: <file_picture>
Renee: She is all cute in her usual spot. 
Rachel: Ha! Yeah, I remember, she would always try to fit in there even though she's obviously too big
Rachel: 😂
Renee: Yeah, she's always getting into some sort of silly situations.
Renee: What kind of work are you looking for?
Rachel: Just the usual, something with teaching. I am not too stressed yet, I have some savings.
Renee: That's good, yeah, you don't want to have to feel pressured into taking a certain job. 
Renee: Just so you know, if you are ever back, you are more than welcome to come back and work for me. 
Renee: Layla is definitely missing you taking her on walks everyday. 
Rachel: Aw, yeah, I miss you guys too. Of course :) If I am ever back I will let you know!","If she is back, she will let Renee know."
Will Rachel let Renee know if she is back?,"Will Rachel let Renee know if she is back?: Desiree: U both at home?
Lucian: No. I've just got ur msg. Why did u ask about it?
Desiree: No reason. Keep my pasta in the microwave
Lucian: I haven't cooked anything",I cannot be sure given this transcript
Is Jonas running 10 minutes late?,"Is Jonas running 10 minutes late?: Jonas: I’m running 10 minutes late. Could you guys just let Mary know that I’m coming and will present today before she starts?
Natalie: Sure no problem
Olivia: I’ll save a seat for you 😍
Jonas: Thanks so much. See you in a bit xx",Jonas is running 10 minutes late
Is Jonas running 10 minutes late?,"Is Jonas running 10 minutes late?: Zoey: Hello dear friends, here something to cheer you up on a cold day.
Zoey: <file_gif>
Thomas: LOL
Thomas: Hi there in the tropics! How are you doing?
Zoey: Staying healthy? Everything's ok?
Thomas: We are fine, thanks. Everything here is ok. At night the temps fall to -3. Nice white ground frost in the morning.
Thomas: <file_photo>
Zoey: Looks so pretty! But we're happy to give these views a miss for a while :)
Thomas: On Sunday we had a walk around the summit of Belchen - in icy wind but by brilliant sunshine. I think we even got some suntan!
Thomas: <file_photo>
Zoey: Gosh! That's pretty! You'll hear from us soon. Take care!
Thomas: You too!",I cannot be sure given this transcript
Will Natalie and Olivia let Mary know that he's coming and present today before she starts?,"Will Natalie and Olivia let Mary know that he's coming and present today before she starts?: Jonas: I’m running 10 minutes late. Could you guys just let Mary know that I’m coming and will present today before she starts?
Natalie: Sure no problem
Olivia: I’ll save a seat for you 😍
Jonas: Thanks so much. See you in a bit xx",Natalie and Olivia will let Mary know that he's coming and will present today before she starts
Will Natalie and Olivia let Mary know that he's coming and present today before she starts?,"Will Natalie and Olivia let Mary know that he's coming and present today before she starts?: Zoey: Hello dear friends, here something to cheer you up on a cold day.
Zoey: <file_gif>
Thomas: LOL
Thomas: Hi there in the tropics! How are you doing?
Zoey: Staying healthy? Everything's ok?
Thomas: We are fine, thanks. Everything here is ok. At night the temps fall to -3. Nice white ground frost in the morning.
Thomas: <file_photo>
Zoey: Looks so pretty! But we're happy to give these views a miss for a while :)
Thomas: On Sunday we had a walk around the summit of Belchen - in icy wind but by brilliant sunshine. I think we even got some suntan!
Thomas: <file_photo>
Zoey: Gosh! That's pretty! You'll hear from us soon. Take care!
Thomas: You too!",I cannot be sure given this transcript
Will Olivia save a seat for him?,"Will Olivia save a seat for him?: Jonas: I’m running 10 minutes late. Could you guys just let Mary know that I’m coming and will present today before she starts?
Natalie: Sure no problem
Olivia: I’ll save a seat for you 😍
Jonas: Thanks so much. See you in a bit xx",Olivia will save a seat for him.
Will Olivia save a seat for him?,"Will Olivia save a seat for him?: Zoey: Hello dear friends, here something to cheer you up on a cold day.
Zoey: <file_gif>
Thomas: LOL
Thomas: Hi there in the tropics! How are you doing?
Zoey: Staying healthy? Everything's ok?
Thomas: We are fine, thanks. Everything here is ok. At night the temps fall to -3. Nice white ground frost in the morning.
Thomas: <file_photo>
Zoey: Looks so pretty! But we're happy to give these views a miss for a while :)
Thomas: On Sunday we had a walk around the summit of Belchen - in icy wind but by brilliant sunshine. I think we even got some suntan!
Thomas: <file_photo>
Zoey: Gosh! That's pretty! You'll hear from us soon. Take care!
Thomas: You too!",I cannot be sure given this transcript
Are Lawrence and Julius offended by Manutd's performance this season?,"Are Lawrence and Julius offended by Manutd's performance this season?: Julius: dude, your assessment of manutd
Lawrence: i have nothing to say, im so offended and hopeless of them this season
Julius: me too
Lawrence: i dont even know whats wrong with the team
Julius: the quality is there but nothing is happening
Lawrence: the players look tired of something
Julius:  with mourinhos conservative football!!
Lawrence: its so boring
Julius: so lifeless
Lawrence: man!!
Julius: it needs to change, hope the board sees it
Lawrence: sooner than later
Julius: yeah
Lawrence: yeah",Lawrence and Julius are offended by Manutd's performance this season
Are Lawrence and Julius offended by Manutd's performance this season?,"Are Lawrence and Julius offended by Manutd's performance this season?: Brook: something happened yesterday, you need to come and see
Gyle: is it bad?
Brook: you better come home
Gyle: On my way",I cannot be sure given this transcript
Do they both hope the board will see it sooner than later?,"Do they both hope the board will see it sooner than later?: Julius: dude, your assessment of manutd
Lawrence: i have nothing to say, im so offended and hopeless of them this season
Julius: me too
Lawrence: i dont even know whats wrong with the team
Julius: the quality is there but nothing is happening
Lawrence: the players look tired of something
Julius:  with mourinhos conservative football!!
Lawrence: its so boring
Julius: so lifeless
Lawrence: man!!
Julius: it needs to change, hope the board sees it
Lawrence: sooner than later
Julius: yeah
Lawrence: yeah",They both hope the board will see it sooner than later.
Do they both hope the board will see it sooner than later?,"Do they both hope the board will see it sooner than later?: Brook: something happened yesterday, you need to come and see
Gyle: is it bad?
Brook: you better come home
Gyle: On my way",I cannot be sure given this transcript
Why is Wayne not going to the trip?,"Why is Wayne not going to the trip?: Jade: are you going to that trip
Wayne: was
Jade: what do you mean
Wayne: its portponed
Jade: are you kidding me XD
Wayne: im serious, why surprised
Jade: i had to go home and miss it xD
Wayne: oh, cool you can make it when we go
Jade: yea, yesss
Wayne: :D",Wayne is not going to the trip because he had to go home and miss it
Why is Wayne not going to the trip?,"Why is Wayne not going to the trip?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
Will Jade join him when they go?,"Will Jade join him when they go?: Jade: are you going to that trip
Wayne: was
Jade: what do you mean
Wayne: its portponed
Jade: are you kidding me XD
Wayne: im serious, why surprised
Jade: i had to go home and miss it xD
Wayne: oh, cool you can make it when we go
Jade: yea, yesss
Wayne: :D",Jade will join him when they go
Will Jade join him when they go?,"Will Jade join him when they go?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
Will Wayne join Jade when she goes?,"Will Wayne join Jade when she goes?: Jade: are you going to that trip
Wayne: was
Jade: what do you mean
Wayne: its portponed
Jade: are you kidding me XD
Wayne: im serious, why surprised
Jade: i had to go home and miss it xD
Wayne: oh, cool you can make it when we go
Jade: yea, yesss
Wayne: :D",Wayne will join Jade when she goes
Will Wayne join Jade when she goes?,"Will Wayne join Jade when she goes?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
Is Natalie going to Thailand next week?,"Is Natalie going to Thailand next week?: Natalie: are you still going to Thailand?
Jason: yeah, next week as planned
Jason: why?
Natalie: could you buy me some spices?
Natalie: I can't find anything similar here
Natalie: and I really like those
Jason: sure, if you'll send me all the names
Jason: you know, I'm not very good when it comes to remembering those
Natalie: of course, I will take pictures of the ones I have to make it easier
Jason: great and just to be sure remind me about that in two weeks or so
Jason: I might have other things on my mind and I tend to forget things easily :)
Natalie: that shouldn't be a problem :)",Natalie is going to Thailand next week
Is Natalie going to Thailand next week?,"Is Natalie going to Thailand next week?: Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)",I cannot be sure given this transcript
Will Jason buy some spices for Natalie?,"Will Jason buy some spices for Natalie?: Natalie: are you still going to Thailand?
Jason: yeah, next week as planned
Jason: why?
Natalie: could you buy me some spices?
Natalie: I can't find anything similar here
Natalie: and I really like those
Jason: sure, if you'll send me all the names
Jason: you know, I'm not very good when it comes to remembering those
Natalie: of course, I will take pictures of the ones I have to make it easier
Jason: great and just to be sure remind me about that in two weeks or so
Jason: I might have other things on my mind and I tend to forget things easily :)
Natalie: that shouldn't be a problem :)",Jason will buy some spices for Natalie
Will Jason buy some spices for Natalie?,"Will Jason buy some spices for Natalie?: Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)",I cannot be sure given this transcript
Will Natalie take pictures of the spices she has to remind him about in two weeks?,"Will Natalie take pictures of the spices she has to remind him about in two weeks?: Natalie: are you still going to Thailand?
Jason: yeah, next week as planned
Jason: why?
Natalie: could you buy me some spices?
Natalie: I can't find anything similar here
Natalie: and I really like those
Jason: sure, if you'll send me all the names
Jason: you know, I'm not very good when it comes to remembering those
Natalie: of course, I will take pictures of the ones I have to make it easier
Jason: great and just to be sure remind me about that in two weeks or so
Jason: I might have other things on my mind and I tend to forget things easily :)
Natalie: that shouldn't be a problem :)",Natalie will take pictures of the spices she has to remind him about in two weeks.
Will Natalie take pictures of the spices she has to remind him about in two weeks?,"Will Natalie take pictures of the spices she has to remind him about in two weeks?: Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)",I cannot be sure given this transcript
"Are Elisa, Alice, Sadie, Carol, Arthur, Liam, Kai, Tom, John and Tom going for drinks tonight at Mombasa?","Are Elisa, Alice, Sadie, Carol, Arthur, Liam, Kai, Tom, John and Tom going for drinks tonight at Mombasa?: Elisa: Who wants to come for drinks tonight at Mombasa?
Alice: me!
Sadie: I'm in as well
Carol: may I bring some people?
Elisa: sure, the more the better!
Carol: amazing
Arthur: count me in! I'll come with Alice of course
Liam: me too!
Kai: I will join you but after my courses, around 8
Elisa: No problem, we'll be there till midnight at least
Tom: i may come over :)
Elisa: Anybody else? I'd like to book the corner table
Tom: the big one?
Elisa: exactly
John: So count me in as well
Elisa: Perfect, the table is for 15 people so we should manage! See you there","Elisa, Alice, Sadie, Carol, Arthur, Liam, Kai, Tom, John and Tom are going for drinks tonight at Mombasa."
"Are Elisa, Alice, Sadie, Carol, Arthur, Liam, Kai, Tom, John and Tom going for drinks tonight at Mombasa?","Are Elisa, Alice, Sadie, Carol, Arthur, Liam, Kai, Tom, John and Tom going for drinks tonight at Mombasa?: Jane: Are u free now? Could u help me with that thesis?
Ainsley: I'm sick won't be of much help sorry. I've got a cold and I'm sneezing like a little bitch every 2 seconds
Jane: Oh... hmm ok. Hope u will get better soon...",I cannot be sure given this transcript
Does Amy have any homework for tomorrow?,"Does Amy have any homework for tomorrow?: Hal: Have you got any homework for tomorrow?
Amy: no dad
Hal: ru sure?
Amy: told ya
Hal: You know mum's not home today.
Amy: I know, I can use the microwave
Hal: good girl. I'll be home around 6
Amy: yeah right
Hal: what do you mean
Amy: sry dad but you're never ever home at 6
Hal: i suppose you;re right. but I'll try today
Amy: ok. can I go to Alex?
Hal: ok, but be back home before 7. we'll have dinner together
Amy: ok dad
Hal: and if you really have no homework to do
Amy: sure thing dad",Amy doesn't have any homework for tomorrow
Does Amy have any homework for tomorrow?,"Does Amy have any homework for tomorrow?: Adrian: Can you talk?
Simon: Not really, anything important?
Adrian: Not that much.
Simon: I'll be free at 5
Adrian: i'll you then",I cannot be sure given this transcript
What time will Hal be home around and will he be back home before 7?,"What time will Hal be home around and will he be back home before 7?: Hal: Have you got any homework for tomorrow?
Amy: no dad
Hal: ru sure?
Amy: told ya
Hal: You know mum's not home today.
Amy: I know, I can use the microwave
Hal: good girl. I'll be home around 6
Amy: yeah right
Hal: what do you mean
Amy: sry dad but you're never ever home at 6
Hal: i suppose you;re right. but I'll try today
Amy: ok. can I go to Alex?
Hal: ok, but be back home before 7. we'll have dinner together
Amy: ok dad
Hal: and if you really have no homework to do
Amy: sure thing dad",Hal will be home around 6 and will be back home before 7
What time will Hal be home around and will he be back home before 7?,"What time will Hal be home around and will he be back home before 7?: Adrian: Can you talk?
Simon: Not really, anything important?
Adrian: Not that much.
Simon: I'll be free at 5
Adrian: i'll you then",I cannot be sure given this transcript
Will they have dinner together?,"Will they have dinner together?: Hal: Have you got any homework for tomorrow?
Amy: no dad
Hal: ru sure?
Amy: told ya
Hal: You know mum's not home today.
Amy: I know, I can use the microwave
Hal: good girl. I'll be home around 6
Amy: yeah right
Hal: what do you mean
Amy: sry dad but you're never ever home at 6
Hal: i suppose you;re right. but I'll try today
Amy: ok. can I go to Alex?
Hal: ok, but be back home before 7. we'll have dinner together
Amy: ok dad
Hal: and if you really have no homework to do
Amy: sure thing dad",They will have dinner together.
Will they have dinner together?,"Will they have dinner together?: Adrian: Can you talk?
Simon: Not really, anything important?
Adrian: Not that much.
Simon: I'll be free at 5
Adrian: i'll you then",I cannot be sure given this transcript
Did Ray post his stolen bike on Facebook?,"Did Ray post his stolen bike on Facebook?: Ray: Hey guys, I don't know if you heard but someone stole my bike yesterday so I'm going to post it on fb and would appreciate if you share! THX
Sam: shit, man, sorry to hear, I will share for sure
Luke: when was it, Ray? I had mine stolen last month around when I parked around on the 9th street
Ray: Mine was there too :( cops said it's a common area for it to happen but I still havent lost hope :(
Scott: Did they check the security cameras around the place? Maybe Mariott people saw someone?
Ray: Apparently they don't overlook that area... 
Luke: Yeah, cops were completely useless too, I ended up going to Mariott on my own and asking people but they didn't see anything. I emailed their manager if they could look at the tapes but because of privacy issues blah blah blah it was a no go... Good luck man!
Ray: I mean those guys are pros... I had high grade lock on mine and an app alert and it didn't do shit. Now I'm out few grand and pissed off
Scott: I would be too. Did you post posters in the area? it's a busy street so maybe someone saw something
Ray: Yeah, I'm getting around to it now and I really hope that smeone was sober enough to notice anything. I mean it's a custom bike so I hope if they try to get rid of it it will rise suspicion
Luke: I think it might ve already been turned into parts and shipped off. Even if you wanted to keep it and painted it, you could still recognize it
Ray: I know, that's why I wanna reach as many people as posible,maybe they ll get spooked and leave it somewhere
Sam: Let us know if you need someone to go dumpster diving with 
Ray: Heh, thx Sam! I appreciate all help",Ray's bike was stolen yesterday and he's going to post it on Facebook
Did Ray post his stolen bike on Facebook?,"Did Ray post his stolen bike on Facebook?: Adrian: Did you get your grades yet?
Bart: Yeah. My whole semester is screwed up now.
Adrian: Wait whaaat? Why?
Bart: Well, I bombed my economy final and ended up with a bad score..
Adrian: Ouch. That must hurt :/ 
Bart: Well, it's my fault because I didn't study as much as I should have.
Adrian: Why don't you re-take the class next year?
Bart: That's what I plan on doing unless I keep screwing up. How did you do this semester?
Adrian: I didn't do that bad. I ended up with a reasonable grade.
Bart: Well someone did his homework :p
Adrian: I just pay attention during class, I don't study that much actually.
Bart: Classes are boring, can't pay attention for too long...
Adrian: Anyway, why didn't you study for the economy final? 
Bart: Let's just say I screwed up more than my econ class.
Adrian: What happened?
Bart: I started playing StarCraft and ended up wasting a lot of time.
Adrian: Oooohh I know that game but you better stop slacking off.
Bart: You're right. I'm not going to play games during school anymore.
Adrian: You can play them, just don't loose focus and study for the exams :p
Bart: Let's see how it goes xD",I cannot be sure given this transcript
Who will be sharing Ray's post?,"Who will be sharing Ray's post?: Ray: Hey guys, I don't know if you heard but someone stole my bike yesterday so I'm going to post it on fb and would appreciate if you share! THX
Sam: shit, man, sorry to hear, I will share for sure
Luke: when was it, Ray? I had mine stolen last month around when I parked around on the 9th street
Ray: Mine was there too :( cops said it's a common area for it to happen but I still havent lost hope :(
Scott: Did they check the security cameras around the place? Maybe Mariott people saw someone?
Ray: Apparently they don't overlook that area... 
Luke: Yeah, cops were completely useless too, I ended up going to Mariott on my own and asking people but they didn't see anything. I emailed their manager if they could look at the tapes but because of privacy issues blah blah blah it was a no go... Good luck man!
Ray: I mean those guys are pros... I had high grade lock on mine and an app alert and it didn't do shit. Now I'm out few grand and pissed off
Scott: I would be too. Did you post posters in the area? it's a busy street so maybe someone saw something
Ray: Yeah, I'm getting around to it now and I really hope that smeone was sober enough to notice anything. I mean it's a custom bike so I hope if they try to get rid of it it will rise suspicion
Luke: I think it might ve already been turned into parts and shipped off. Even if you wanted to keep it and painted it, you could still recognize it
Ray: I know, that's why I wanna reach as many people as posible,maybe they ll get spooked and leave it somewhere
Sam: Let us know if you need someone to go dumpster diving with 
Ray: Heh, thx Sam! I appreciate all help","Sam, Luke, Scott and Luke will share it"
Who will be sharing Ray's post?,"Who will be sharing Ray's post?: Adrian: Did you get your grades yet?
Bart: Yeah. My whole semester is screwed up now.
Adrian: Wait whaaat? Why?
Bart: Well, I bombed my economy final and ended up with a bad score..
Adrian: Ouch. That must hurt :/ 
Bart: Well, it's my fault because I didn't study as much as I should have.
Adrian: Why don't you re-take the class next year?
Bart: That's what I plan on doing unless I keep screwing up. How did you do this semester?
Adrian: I didn't do that bad. I ended up with a reasonable grade.
Bart: Well someone did his homework :p
Adrian: I just pay attention during class, I don't study that much actually.
Bart: Classes are boring, can't pay attention for too long...
Adrian: Anyway, why didn't you study for the economy final? 
Bart: Let's just say I screwed up more than my econ class.
Adrian: What happened?
Bart: I started playing StarCraft and ended up wasting a lot of time.
Adrian: Oooohh I know that game but you better stop slacking off.
Bart: You're right. I'm not going to play games during school anymore.
Adrian: You can play them, just don't loose focus and study for the exams :p
Bart: Let's see how it goes xD",I cannot be sure given this transcript
When did Luke have his bike stolen?,"When did Luke have his bike stolen?: Ray: Hey guys, I don't know if you heard but someone stole my bike yesterday so I'm going to post it on fb and would appreciate if you share! THX
Sam: shit, man, sorry to hear, I will share for sure
Luke: when was it, Ray? I had mine stolen last month around when I parked around on the 9th street
Ray: Mine was there too :( cops said it's a common area for it to happen but I still havent lost hope :(
Scott: Did they check the security cameras around the place? Maybe Mariott people saw someone?
Ray: Apparently they don't overlook that area... 
Luke: Yeah, cops were completely useless too, I ended up going to Mariott on my own and asking people but they didn't see anything. I emailed their manager if they could look at the tapes but because of privacy issues blah blah blah it was a no go... Good luck man!
Ray: I mean those guys are pros... I had high grade lock on mine and an app alert and it didn't do shit. Now I'm out few grand and pissed off
Scott: I would be too. Did you post posters in the area? it's a busy street so maybe someone saw something
Ray: Yeah, I'm getting around to it now and I really hope that smeone was sober enough to notice anything. I mean it's a custom bike so I hope if they try to get rid of it it will rise suspicion
Luke: I think it might ve already been turned into parts and shipped off. Even if you wanted to keep it and painted it, you could still recognize it
Ray: I know, that's why I wanna reach as many people as posible,maybe they ll get spooked and leave it somewhere
Sam: Let us know if you need someone to go dumpster diving with 
Ray: Heh, thx Sam! I appreciate all help",Luke had his bike stolen last month
When did Luke have his bike stolen?,"When did Luke have his bike stolen?: Adrian: Did you get your grades yet?
Bart: Yeah. My whole semester is screwed up now.
Adrian: Wait whaaat? Why?
Bart: Well, I bombed my economy final and ended up with a bad score..
Adrian: Ouch. That must hurt :/ 
Bart: Well, it's my fault because I didn't study as much as I should have.
Adrian: Why don't you re-take the class next year?
Bart: That's what I plan on doing unless I keep screwing up. How did you do this semester?
Adrian: I didn't do that bad. I ended up with a reasonable grade.
Bart: Well someone did his homework :p
Adrian: I just pay attention during class, I don't study that much actually.
Bart: Classes are boring, can't pay attention for too long...
Adrian: Anyway, why didn't you study for the economy final? 
Bart: Let's just say I screwed up more than my econ class.
Adrian: What happened?
Bart: I started playing StarCraft and ended up wasting a lot of time.
Adrian: Oooohh I know that game but you better stop slacking off.
Bart: You're right. I'm not going to play games during school anymore.
Adrian: You can play them, just don't loose focus and study for the exams :p
Bart: Let's see how it goes xD",I cannot be sure given this transcript
Did Luke go to Mariott alone to ask people about his stolen bike?,"Did Luke go to Mariott alone to ask people about his stolen bike?: Ray: Hey guys, I don't know if you heard but someone stole my bike yesterday so I'm going to post it on fb and would appreciate if you share! THX
Sam: shit, man, sorry to hear, I will share for sure
Luke: when was it, Ray? I had mine stolen last month around when I parked around on the 9th street
Ray: Mine was there too :( cops said it's a common area for it to happen but I still havent lost hope :(
Scott: Did they check the security cameras around the place? Maybe Mariott people saw someone?
Ray: Apparently they don't overlook that area... 
Luke: Yeah, cops were completely useless too, I ended up going to Mariott on my own and asking people but they didn't see anything. I emailed their manager if they could look at the tapes but because of privacy issues blah blah blah it was a no go... Good luck man!
Ray: I mean those guys are pros... I had high grade lock on mine and an app alert and it didn't do shit. Now I'm out few grand and pissed off
Scott: I would be too. Did you post posters in the area? it's a busy street so maybe someone saw something
Ray: Yeah, I'm getting around to it now and I really hope that smeone was sober enough to notice anything. I mean it's a custom bike so I hope if they try to get rid of it it will rise suspicion
Luke: I think it might ve already been turned into parts and shipped off. Even if you wanted to keep it and painted it, you could still recognize it
Ray: I know, that's why I wanna reach as many people as posible,maybe they ll get spooked and leave it somewhere
Sam: Let us know if you need someone to go dumpster diving with 
Ray: Heh, thx Sam! I appreciate all help",Luke went to Mariott on his own and asked people but they didn't see anything
